Store Number,Name,Telephone,Address1,Address2,City,State,Zip,Latitude,Longitude
11854,Epping Main St,603-679-8789,96 Calef Highway,,Epping,NH,03042-2224,43.031873,-71.073203
79420,Stop & Shop-Exeter #204,603-772-1783,139 Portsmouth Ave,,Exeter,NH,03833-2105,42.989763,-70.932044
3872,Target Greenland T-2530,603-501-1470,1450 Greenland Rd,,Greenland,NH,03840-2438,43.04871,-70.816345
13448,"Seabrook, Lafayette Rd",603-474-3674,271 Lafayette Rd,,Seabrook,NH,03874-4512,42.882128,-70.86808
10325,"Portsmouth, Woodbury Avenue",603-436-1547,1855 Woodbury Avenue,,Portsmouth,NH,03801-3228,43.092318,-70.792327
7459,Portsmouth/Market Square/Cigar Stor,603-433-4471,"1 Market Square, Suite 17D",Suite 17D,Portsmouth,NH,03801-4011,43.077086,-70.758064
11182,"Haverhill, 1116 Main St",978-372-3485,1116 Main Street,,Haverhill,MA,01830-1413,42.807206,-71.102071
7329,Newburyport,978-462-4475,23 Market Square,,Newburyport,MA,01950-2571,42.811138,-70.869501
7907,Kittery,207-451-9701,"306 Highway 1, M150",M150,Kittery,ME,3904,43.111116,-70.734091
76864,Target Haverhill T-2325,978-377-9003,35 Computer Dr,,Haverhill,MA,01832-1236,42.786955,-71.115836
9991,"Dover, NH",603-742-1867,11 Webb Place,,Dover,NH,03820-2403,43.221256,-70.888115
76677,Target - Somersworth T-2182,603-692-6750,11 Andrews Rd,,Somersworth,NH,03878-1042,43.232909,-70.8818
7570,Methuen/The Loop,978-681-5284,"90 Pleasant Valley St, Unit 170",Unit 170,Methuen,MA,01844-7289,42.74415323,-71.15734522
16926,Target Salem T-1186,603-870-0071,203 S Broadway,,Salem,NH,03079-3377,42.764387,-71.216689
76855,Target Methuen T-2287,978-983-0013,67 Pleasant Valley St,,Methuen,MA,01844-7202,42.741881,-71.160069
13411,"Manchester, S. Willow St.",603-641-4839,1111 South Willow St,,Manchester,NH,03103-4035,42.960288,-71.438445
75663,MHT - Manchester Post Sec New Wng,,1 Airport Rd,,Manchester,NH,03103-7450,42.92709763,-71.44655693
76481,Target Bedford T-2009,603-263-0061,220 S River Rd,,Bedford,NH,03110-6819,42.94327,-71.4741
7773,N Andover/Rte 114,978-975-7229,562 Turnpike Street,,North Andover,MA,01845-5812,42.665865,-71.115143
885,Andover,978-475-7752,14 Main Street,,Andover,MA,01810-3702,42.656393,-71.140289
9716,"Concord, Loudon Road",603-223-2395,240 Loudon Road,,Concord,NH,03301-6029,43.222904,-71.491969
7960,Nashua Mall Power Center,603-579-4761,10 Coliseum Avenue,,Nashua,NH,03063-3236,42.76513,-71.49744
7450,Beverly,978-922-0885,29 Enon Street,,Beverly,MA,01915-1115,42.585366,-70.88444
14996,UMASS - Lowell,,1 Solomont Way,,Lowell,MA,01854-5120,42.641549,-71.334888
10278,Pheasant Lane Mall,603-897-1860,"310 Daniel Webster Hwy., E281",E281,Nashua,NH,03060-5730,42.700708,-71.436142
11531,"Nashua, 611 Amherst St",603-883-1600,611 Amherst St.,,Nashua,NH,03063-1017,42.80103,-71.537014
5107,Target Lowell T-2480,978-703-2020,199 Plain St,,Lowell,MA,01852-5132,42.62462,-71.31845
11848,"Beverly, 242 Elliott St",978-927-0748,242 Elliott St.,,Beverly,MA,01915-2419,42.556249,-70.890407
7658,Chelmsford,978-458-2464,101 Drum Hill Road,,Chelmsford,MA,01824-1519,42.623739,-71.36431
833,Peabody,978-531-8224,240 Andover Street,,Peabody,MA,01960-1536,42.545939,-70.946655
2765,North Shore Mall,978-531-1331,"210 Andover Street, Space W 133",,Peabody,MA,01960-1673,42.54524,-70.94468
11757,Wilmington Crossing,978-658-2541,"271 Main St., Space #253",Space #253,Wilmington,MA,01887-2321,42.555543,-71.181095
8650,Billerica,978-436-9180,"199 Boston Road, Unit 15",Unit 15,Billerica,MA,01862-2328,42.581632,-71.289347
9269,Reading Walkers Brook,781-942-8290,24 Walkers Brook Drive,,Reading,MA,01867-3224,42.519991,-71.093858
7356,Salem-Dodge Street,978-825-0824,211 Washington Street,,Salem,MA,01970-3607,42.518951,-70.894874
7772,Reading,781-942-0168,288 Main Street,,Reading,MA,01867-3610,42.515659,-71.104029
15489,Target Woburn T-1266,781-904-0002,101 Commerce Way,,Woburn,MA,01801-1007,42.518122,-71.135588
9984,"Woburn, Commerce Way",781-933-4672,99 Commerce Way,,Woburn,MA,01801-5199,42.51732348,-71.13571242
75861,Maine Turnpike Kennebunk North,207-985-4234,maine Trnpike Northbound exit 24,,Kennebunk,ME,04043-7020,43.385365,-70.54211
75860,"Kennebunk South, Maine Turnpike",207-985-4817,Maine Turnpike Southbound MM 24,,kennebunk,ME,04043-7020,43.385365,-70.54211
7812,"Woburn, West Cummings Park",781-938-9305,"200 W Cummings Park, 1",1,Woburn,MA,01801-6333,42.49818,-71.125908
7522,Marblehead,781-639-0368,89 Pleasant Street,,Marblehead,MA,01945-3389,42.502632,-70.856048
13978,"Saugus, The Shops at Saugus",781-231-4928,366 B Broadway,,Saugus,MA,01906-1902,42.48811594,-71.0194
802,Swampscot,781-581-9001,1016 Paradise Road,,Swampscott,MA,01907-1352,42.484973,-70.901011
7269,Saugus,781-233-4173,723 Broadway,,Saugus,MA,01906-3207,42.478313,-71.023173
9913,Westford Valley Marketplace,978-392-5926,174 Littleton Road,,Westford,MA,01886-3191,42.566563,-71.421995
7279,Marketplace at Burlington,781-273-6544,"84 Burlington Mall Road, Suite D",Suite D,Burlington,MA,01803-4538,42.48755,-71.20229
10598,"Bedford, Great Road",781-275-0992,186 Great Road,,Bedford,MA,01730-2710,42.489622,-71.27235
